product_id,product_name,category,subcategory,cost_price
74,Amount Fiction,Books,Fiction,359.87
75,Chair Fiction,Books,Fiction,225.51
76,Resource Camera,Electronics,Cameras,210.64
77,Ok Camera,Electronics,Cameras,157.54
78,But Camera,Electronics,Cameras,6.49
79,Foot Men,Clothing,Men,175.54
80,Ago Mobile,Electronics,Mobiles,39.16
81,Interest Fiction,Books,Fiction,94.09
82,Prepare Footwear,Clothing,Footwear,446.21
83,Thought Academic,Books,Academic,342.95
84,Discussion Kid,Clothing,Kids,496.46
85,Like Non-Fiction,Books,Non-Fiction,115.23
86,Heavy Mobile,Electronics,Mobiles,234.19
87,Best Academic,Books,Academic,127.52
88,General Furniture,Home,Furniture,469.02
89,Around Mobile,Electronics,Mobiles,212.52
90,Political Laptop,Electronics,Laptops,54.94
91,Put Camera,Electronics,Cameras,353.13
92,Day Laptop,Electronics,Laptops,204.12
93,Past Women,Clothing,Women,389.15
94,New Kid,Clothing,Kids,458.62
95,Doctor Decor,Home,Decor,438.75
96,Station Footwear,Clothing,Footwear,35.17
97,Would Footwear,Clothing,Footwear,28.21
98,Speak Bedding,Home,Bedding,162.77
99,Fall Academic,Books,Academic,191.35
100,Deal Non-Fiction,Books,Non-Fiction,153.86
101,Agency Footwear,Clothing,Footwear,283.38
102,Because Non-Fiction,Books,Non-Fiction,131.22
103,Nothing Kitchen,Home,Kitchen,424.33
104,Time Laptop,Electronics,Laptops,191.7
105,Like Mobile,Electronics,Mobiles,382.04
106,Research Footwear,Clothing,Footwear,453.98
107,Remain Kitchen,Home,Kitchen,99.06
108,Begin Camera,Electronics,Cameras,349.34
109,Music Footwear,Clothing,Footwear,278.28
110,Indeed Bedding,Home,Bedding,326.12
111,Day Decor,Home,Decor,441.99
112,Military Fiction,Books,Fiction,362.59
113,Friend Furniture,Home,Furniture,209.9
114,Player Women,Clothing,Women,278.89
115,Point Comic,Books,Comics,168.28
116,Much Non-Fiction,Books,Non-Fiction,329.03
117,Yet Decor,Home,Decor,246.87
118,Arrive Academic,Books,Academic,398.51
119,When Women,Clothing,Women,246.72
120,Reflect Mobile,Electronics,Mobiles,41.79
121,Herself Mobile,Electronics,Mobiles,422.06
122,Information Men,Clothing,Men,9.53
123,Choose Comic,Books,Comics,320.68
124,Sense Academic,Books,Academic,268.45
125,Too Fiction,Books,Fiction,362.49
126,Late Kitchen,Home,Kitchen,350.44
127,Hope Non-Fiction,Books,Non-Fiction,52.68
128,Imagine Women,Clothing,Women,265.6
129,Hotel Decor,Home,Decor,44.11
130,Actually Academic,Books,Academic,495.17
131,Feel Kid,Clothing,Kids,424.69
132,Hair Mobile,Electronics,Mobiles,191.7
133,Have Fiction,Books,Fiction,352.91
134,Foot Camera,Electronics,Cameras,324.23
135,Like Kitchen,Home,Kitchen,459.98
136,Two Women,Clothing,Women,347.68
137,Option Comic,Books,Comics,41.8
138,Begin Kitchen,Home,Kitchen,425.96
139,Dinner Laptop,Electronics,Laptops,377.37
140,Should Fiction,Books,Fiction,284.16
141,View Comic,Books,Comics,371.17
142,Life Accessorie,Electronics,Accessories,221.36
143,Site Accessorie,Electronics,Accessories,308.86
144,Just Comic,Books,Comics,140.3
145,Suggest Academic,Books,Academic,278.75
146,Level Academic,Books,Academic,295.01
147,Fight Fiction,Books,Fiction,151.21
148,Common Men,Clothing,Men,81.34
149,Sure Footwear,Clothing,Footwear,57.74
150,Should Accessorie,Electronics,Accessories,381.87
