product_id,product_name,category,subcategory,cost_price
71,Sign Camera,Electronics,Cameras,184.08
72,Measure Mobile,Electronics,Mobiles,451.93
73,we women,Clothing,Women,427.97
74,Amount Fiction,Books,Fiction,359.87
75,Chair Fiction,Books,Fiction,225.51
76,  resource camera   ,Electronics,Cameras,210.64
77,Ok Camera,Electronics,Cameras,157.54
78,But Camera,Electronics,Cameras,6.49
79,  FOOT MEN   ,Clothing,Men,175.54
80,Ago Mobile,Electronics,Mobiles,39.16
81,Interest Fiction,Books,Fiction,94.09
82,Prepare Footwear,Clothing,Footwear,446.21
83,Thought Academic,Books,Academic,342.95
84,  discussion kid   ,Clothing,Kids,496.46
85,Like Non-Fiction,Books,Non-Fiction,115.23
86,Heavy Mobile,Electronics,Mobiles,234.19
87,Best Academic,Books,Academic,127.52
88,General Furniture,Home,Furniture,469.02
89,Around Mobile,Electronics,Mobiles,212.52
90,Political Laptop,Electronics,Laptops,54.94
91,Put Camera,Electronics,Cameras,353.13
92,Day Laptop,Electronics,Laptops,204.12
93,Past Women,Clothing,Women,389.15
94,New Kid,Clothing,Kids,458.62
95,Doctor Decor,Home,Decor,438.75
96,Station Footwear,Clothing,Footwear,35.17
97,Would Footwear,Clothing,Footwear,28.21
98,Speak Bedding,Home,Bedding,162.77
99,  fall academic   ,Books,Academic,191.35
100,Deal Non-Fiction,Books,Non-Fiction,153.86
101,Agency Footwear,Clothing,Footwear,283.38
102,Because Non-Fiction,Books,Non-Fiction,131.22
103,Nothing Kitchen,Home,Kitchen,424.33
104,  TIME LAPTOP   ,Electronics,Laptops,191.7
105,like mobile,Electronics,Mobiles,382.04
106,Research Footwear,Clothing,Footwear,453.98
107,Remain Kitchen,Home,Kitchen,99.06
108,Begin Camera,Electronics,Cameras,349.34
109,Music Footwear,Clothing,Footwear,278.28
110,Indeed Bedding,Home,Bedding,326.12
111,Day Decor,Home,Decor,441.99
112,Military Fiction,Books,Fiction,362.59
113,Friend Furniture,Home,Furniture,209.9
114,  PLAYER WOMEN   ,Clothing,Women,278.89
115,point comic,Books,Comics,168.28
116,Much Non-Fiction,Books,Non-Fiction,329.03
117,Yet Decor,Home,Decor,246.87
118,arrive academic,Books,Academic,398.51
119,When Women,Clothing,Women,246.72
120,Reflect Mobile,Electronics,Mobiles,41.79
121,Herself Mobile,Electronics,Mobiles,422.06
122,Information Men,Clothing,Men,9.53
123,  CHOOSE COMIC   ,Books,Comics,320.68
124,  SENSE ACADEMIC   ,Books,Academic,268.45
125,  TOO FICTION   ,Books,Fiction,362.49
126,Late Kitchen,Home,Kitchen,350.44
127,  hope non-fiction   ,Books,Non-Fiction,52.68
128,imagine women,Clothing,Women,265.6
129,Hotel Decor,Home,Decor,44.11
130,Actually Academic,Books,Academic,495.17
131,Feel Kid,Clothing,Kids,424.69
132,Hair Mobile,Electronics,Mobiles,191.7
133,Have Fiction,Books,Fiction,352.91
134,Foot Camera,Electronics,Cameras,324.23
135,Like Kitchen,Home,Kitchen,459.98
136,Two Women,Clothing,Women,347.68
137,  OPTION COMIC   ,Books,Comics,41.8
138,begin kitchen,Home,Kitchen,425.96
139,Dinner Laptop,Electronics,Laptops,377.37
140,Should Fiction,Books,Fiction,284.16
141,View Comic,Books,Comics,371.17
142,  LIFE ACCESSORIE   ,Electronics,Accessories,221.36
143,Site Accessorie,Electronics,Accessories,308.86
144,  JUST COMIC   ,Books,Comics,140.3
145,Suggest Academic,Books,Academic,278.75
146,level academic,Books,Academic,295.01
147,Fight Fiction,Books,Fiction,151.21
148,  COMMON MEN   ,Clothing,Men,81.34
149,Sure Footwear,Clothing,Footwear,57.74
150,Should Accessorie,Electronics,Accessories,381.87
